country,iso3,who_region,continents,data_source,date_updated,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_per100,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,first_vaccine_date,number_vaccines_types_used,persons_booster_add_dose,persons_booster_add_dose_per100
"Bonaire, Sint Eustatius and Saba",BES,AMRO,America,OWID,9/1/2021,35845,19109,137.934,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,,
Brazil,BRA,AMRO,America,REPORTING,11/4/2022,488138122,185108631,229.648,87.086,167715904,78.903,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5,104869140,49.336
British Virgin Islands,VGB,AMRO,America,REPORTING,11/4/2022,41453,19466,137.094,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2/11/2021,2,3726,12.323
Canada,CAN,AMRO,America,REPORTING,11/4/2022,90718041,32520944,240.363,86.166,31176901,82.605,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5,19402271,51.407
Cayman Islands,CYM,AMRO,America,REPORTING,11/4/2022,149153,61787,226.952,94.016,60341,91.815,Pfizer BioNTech - Comirnaty,1/15/2021,1,24307,36.986
Chile,CHL,AMRO,America,REPORTING,11/4/2022,62505509,18075815,326.977,94.558,17687635,92.527,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,5,15684593,82.049
Colombia,COL,AMRO,America,REPORTING,11/4/2022,89310214,42842898,175.521,84.199,36784255,72.292,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,5,14341000,28.184
Costa Rica,CRI,AMRO,America,REPORTING,11/4/2022,12169521,4500155,238.894,88.34,4219797,82.837,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/24/2020,3,2639586,51.816
Cuba,CUB,AMRO,America,REPORTING,11/4/2022,37920703,10711178,334.793,94.566,9998618,88.275,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8635191,76.238
Curaçao,CUW,AMRO,America,REPORTING,11/4/2022,255535,108568,155.726,66.162,99930,60.898,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/24/2021,3,47037,28.665
Dominica,DMA,AMRO,America,REPORTING,11/4/2022,67647,32995,93.966,45.832,30659,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/2021,5,3993,5.547
Dominican Republic,DOM,AMRO,America,REPORTING,11/4/2022,15836920,7290937,145.991,67.211,6058540,55.85,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/2021,3,2487443,22.93
Ecuador,ECU,AMRO,America,REPORTING,11/4/2022,38581075,15284712,218.676,86.633,14169117,80.31,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,4,7399558,41.94
El Salvador,SLV,AMRO,America,REPORTING,11/4/2022,11250496,4634978,173.453,71.459,4329694,66.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/2021,6,1847442,28.483
Falkland Islands (Malvinas),FLK,AMRO,America,REPORTING,6/21/2022,9390,3220,269.595,92.449,2976,85.444,AstraZeneca - AZD1222,,1,2543,73.012
French Guiana,GUF,AMRO,America,REPORTING,11/4/2022,236787,99209,79.277,33.216,89699,30.032,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,2,45507,15.236
Grenada,GRD,AMRO,America,REPORTING,11/4/2022,90457,44163,80.39,39.248,38958,34.622,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/15/2021,5,7336,6.52
Guadeloupe,GLP,AMRO,America,REPORTING,11/4/2022,389466,150711,97.336,37.666,144824,36.195,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",1/8/2021,7,87697,21.917
Guatemala,GTM,AMRO,America,REPORTING,11/4/2022,19877864,8839803,110.953,49.341,6989305,39.012,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/25/2021,5,3569720,19.925
Guyana,GUY,AMRO,America,REPORTING,11/4/2022,951690,492773,120.995,62.65,379432,48.24,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/11/2021,7,75496,9.598
Haiti,HTI,AMRO,America,REPORTING,11/4/2022,509500,397765,4.468,3.488,236678,2.076,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2,,
Honduras,HND,AMRO,America,REPORTING,11/4/2022,16430114,6406980,165.884,64.687,5704735,57.597,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,6,4318774,43.604
Jamaica,JAM,AMRO,America,REPORTING,11/4/2022,1493518,834720,50.437,28.189,734016,24.788,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/10/2021,5,44819,1.514
Martinique,MTQ,AMRO,America,REPORTING,11/4/2022,393541,150029,104.87,39.979,144833,38.595,Pfizer BioNTech - Comirnaty,,1,92065,24.533
Mexico,MEX,AMRO,America,REPORTING,11/4/2022,223158993,97179493,173.082,75.372,81849962,63.483,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/24/2020,7,57014052,44.22
Montserrat,MSR,AMRO,America,REPORTING,11/4/2022,4564,2104,91.298,42.088,1950,39.008,AstraZeneca - Vaxzevria,2/8/2021,1,510,10.202
Nicaragua,NIC,AMRO,America,REPORTING,11/4/2022,11930746,6110984,180.099,92.247,5819762,87.851,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/3/2021,9,,
Panama,PAN,AMRO,America,REPORTING,11/4/2022,8671222,3513104,200.966,81.42,3159050,73.215,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/2021,2,1747248,40.495
Paraguay,PRY,AMRO,America,REPORTING,11/4/2022,9419313,3967215,132.061,55.621,3518399,49.329,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/2021,8,1617513,22.678
Peru,PER,AMRO,America,REPORTING,11/4/2022,85118570,29915510,258.155,90.73,28290893,85.803,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/9/2021,4,21424824,64.979
Puerto Rico,PRI,AMRO,America,REPORTING,11/4/2022,7837333,3122711,273.951,109.153,2754578,96.285,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4,1732627,60.563
Saba,XCA,AMRO,America,REPORTING,11/4/2022,4471,1687,231.298,87.274,1657,85.722,,,,1127,58.303
Saint Kitts and Nevis,KNA,AMRO,America,REPORTING,11/4/2022,64225,33794,120.742,63.532,26944,50.654,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,3,3465,6.514
Saint Lucia,LCA,AMRO,America,REPORTING,11/4/2022,122977,60140,66.971,32.751,54971,29.936,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,7866,4.284
Saint Vincent and the Grenadines,VCT,AMRO,America,REPORTING,11/4/2022,72941,37311,65.748,33.632,31433,28.333,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/2021,5,4197,3.783
Sint Eustatius,XBA,AMRO,America,REPORTING,11/4/2022,4257,1791,135.616,57.056,1686,53.711,,,,780,24.849
Sint Maarten,SXM,AMRO,America,REPORTING,11/4/2022,65515,29788,152.78,69.465,26658,62.166,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,3,9069,21.149
Suriname,SUR,AMRO,America,REPORTING,11/4/2022,554588,267820,94.538,45.654,237879,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,5,48889,8.334
Trinidad and Tobago,TTO,AMRO,America,REPORTING,11/4/2022,1582147,753588,113.052,53.847,717678,51.281,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,169088,12.082
Turks and Caicos Islands,TCA,AMRO,America,REPORTING,11/4/2022,72837,32338,188.122,83.522,30288,78.227,Pfizer BioNTech - Comirnaty,1/11/2021,1,7272,18.782
United States of America,USA,AMRO,America,REPORTING,11/4/2022,633076067,263279200,191.26,79.54,224623175,67.861,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/14/2020,4,110746201,33.458
Uruguay,URY,AMRO,America,REPORTING,11/4/2022,8744995,3002011,251.747,86.42,2894201,83.317,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/2021,3,2064551,59.433
Venezuela (Bolivarian Republic of),VEN,AMRO,America,REPORTING,11/4/2022,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2/22/2021,6,651502,2.291
American Samoa,ASM,WPRO,America,REPORTING,8/23/2022,111316,44885,201.67,81.318,41423,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,24160,43.77
Afghanistan,AFG,EMRO,Asian,REPORTING,11/8/2022,12174141,11196779,31.273,28.763,10489783,26.946,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/22/2021,11,,
Bahrain,BHR,EMRO,Asian,REPORTING,11/8/2022,3474412,1240952,204.188,72.93,1226493,72.08,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/4/2020,11,1006967,59.179
Djibouti,DJI,EMRO,Asian,REPORTING,11/6/2022,292103,271480,29.565,27.478,251112,25.416,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/15/2021,11,,
Iran (Islamic Republic of),IRN,EMRO,Asian,REPORTING,11/6/2022,154521421,65070315,183.97,77.471,58472263,69.616,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",2/9/2021,12,30978843,36.883
Iraq,IRQ,EMRO,Asian,REPORTING,11/7/2022,19444970,11265168,48.344,28.007,7914345,19.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/2/2021,10,265457,0.66
Jordan,JOR,EMRO,Asian,REPORTING,8/21/2022,10057975,4821579,98.577,47.256,4558313,44.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/2021,10,682211,6.686
