country,iso3,who_region,continents,data_source,date_updated,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_per100,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,first_vaccine_date,number_vaccines_types_used,persons_booster_add_dose,persons_booster_add_dose_per100
Republic of Moldova,MDA,EURO,Europe,REPORTING,9/18/2022,2241785,1101302,55.6,27.301,1071341,26.558,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/3/2021,7,370563,9.186
Romania,ROU,EURO,Europe,REPORTING,10/16/2022,16083871,8183574,83.2,42.339,8136562,42.095,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/27/2021,4,1761712,9.114
Russian Federation,RUS,EURO,Europe,OWID,10/31/2022,180177841,85809997,123.5,58.8,77439470,53.065,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
San Marino,SMR,EURO,Europe,REPORTING,5/22/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2,19348,56.158
Serbia,SRB,EURO,Europe,REPORTING,9/4/2022,6717622,3396340,97,49.033,3321282,47.949,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,5,0,0
Slovakia,SVK,EURO,Europe,REPORTING,10/16/2022,7176980,2838635,131.5,52.01,2790217,51.123,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",1/6/2021,6,1683402,30.844
Slovenia,SVN,EURO,Europe,REPORTING,10/16/2022,2999524,1233013,143.1,58.831,1202504,57.375,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,654976,31.251
Spain,ESP,EURO,Europe,REPORTING,10/16/2022,103064170,41287568,217.7,87.229,37488975,79.203,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,26001927,54.934
Sweden,SWE,EURO,Europe,REPORTING,10/16/2022,22750237,7504601,220.3,72.666,7366812,71.331,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,5525594,53.503
Switzerland,CHE,EURO,Europe,REPORTING,10/23/2022,16085511,6093594,185.9,70.806,5718917,66.452,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,4,4332830,50.346
Tajikistan,TJK,EURO,Europe,REPORTING,8/21/2022,15441380,5282863,161.9,55.39,5120562,53.688,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/24/2021,6,4951036,51.91
The United Kingdom,GBR,EURO,Europe,REPORTING,9/11/2022,151248820,53813491,222.8,79.068,50762968,74.586,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,,
Turkey,TUR,EURO,Europe,OWID,11/1/2022,152465212,57936171,,69.673,53171054,63.942,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3,,
Turkmenistan,TKM,EURO,Europe,REPORTING,9/4/2022,13514000,3728000,224.1,61.812,3689000,61.165,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",2/24/2021,7,3340000,55.379
Ukraine,UKR,EURO,Europe,REPORTING,2/27/2022,31668577,15774300,72.4,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/24/2021,6,741197,1.695
Uzbekistan,UZB,EURO,Europe,REPORTING,10/30/2022,70696770,21247096,211.2,63.483,17529078,52.374,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",4/28/2021,8,14528732,43.409
Liechtenstein,LIE,OTHER,Europe,REPORTING,4/10/2022,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/6/2021,3,18310,47.255
Australia,AUS,WPRO,Europe,REPORTING,9/28/2022,63461493,22443557,248.87,88.014,21784904,85.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,14265648,55.944
Solomon Islands,SLB,WPRO,Europe,REPORTING,10/23/2022,546180,317229,79.516,46.184,215161,31.324,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/23/2021,4,16391,2.386
Tokelau,TKL,WPRO,Europe,REPORTING,9/5/2022,4924,1494,364.741,110.667,1494,110.667,Pfizer BioNTech - Comirnaty,7/20/2021,1,968,71.704
Tonga,TON,WPRO,Europe,REPORTING,10/28/2022,203117,87198,192.173,82.5,76825,72.686,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/14/2021,2,38137,36.082
Tuvalu,TUV,WPRO,Europe,REPORTING,8/31/2022,25591,9603,217.02,81.437,9322,79.054,AstraZeneca - Vaxzevria,4/13/2021,1,5528,46.879
Vanuatu,VUT,WPRO,Europe,REPORTING,8/28/2022,292146,144290,95.117,46.978,131300,42.749,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",6/2/2021,3,16556,5.39
Wallis and Futuna,WLF,WPRO,Europe,REPORTING,7/26/2022,16782,6592,149.226,58.616,6989,62.147,Moderna - Spikevax,3/19/2021,1,3201,28.463
